"index","name","LossJulDec12","LossJanJun13","LossJul12Jun13","LossJulDec11","LossJanJun12","LossJul11Jun12","address","type","vo","region","attached_entitlements","egms"
1,"ABRUZZO CLUB",815782.86,0,0,808392.89,772215.56,1580608.45,"377 LYGON STREET EAST BRUNSWICK   VIC 3057","Club","V9410047","Metropolitan","55","59"
2,"ACES SPORTING CLUB",2015469.04,0,0,2580593.06,2206162.5,4786755.56,"CNR HUTTON AND SPRINGVALE ROADS KEYSBOROUGH   VIC 3173","Club","V9410194","Metropolitan","77","77"
3,"ALBION CHARLES HOTEL",2977125.5,0,0,3657245.39,3506213.56,7163458.95,"2 CHARLES STREET NORTHCOTE   VIC 3070","Hotel","V98095066","Metropolitan","50","65"
4,"ALBION HOTEL",1268889.88,0,0,1353033.83,1098638.48,2451672.31,"327 LONSDALE STREET DANDENONG   VIC 3175","Hotel","V9210159","Metropolitan","24","24"
5,"ALEXANDRA HOUSE SPORTS CLUB",1239568.14,0,0,1382761.38,1301166.05,2683927.43,"134 BROWN STREET HAMILTON   VIC 3300","Club","V9310024","Country","35","35"
6,"ALL SEASONS INTERNATIONAL HOTEL BENDIGO",5114271.41,0,0,5333488.32,5103071.33,10436559.65,"171-183 MCIVOR ROAD BENDIGO   VIC 3550","Hotel","V07096012","Country","100","100"
7,"ALMA SPORTS CLUB",0,0,0,172896.56,0,172896.56,"1 WILKS STREET NORTH CAULFIELD 3161","Club","V9410180","Metropolitan","0","26"
8,"ALTONA BOWLING CLUB",1192759.01,0,0,1416625.57,1340394.35,2757019.92,"113 CIVIC PARADE ALTONA   VIC 3018","Club","V9410109","Metropolitan","37","37"
9,"ALTONA RSL",1853995.7,0,0,1944049.33,1963006.28,3907055.61,"31 SARGOOD STREET ALTONA   VIC 3018","Club","V98095043","Metropolitan","58","58"
10,"ALTONA SPORTS CLUB",2011540.06,0,0,2195926.35,2039936.17,4235862.52,"11 ALTONA ROAD SEAHOLME   VIC 3018","Club","V9780022","Metropolitan","83","83"
11,"American Hotel",NA,NA,NA,NA,NA,NA,"239-249 Hare Street Echuca 3564","Hotel","V09096294","Country","42","42"
12,"AMSTEL GOLF CLUB",3302938.42,0,0,3408879.35,2950564.61,6359443.96,"1000 CRANBOURNE-FRANKSTON ROAD CRANBOURNE   VIC 3977","Club","V9210181","Metropolitan","80","80"
13,"ANGEL TAVERN",2259352.5,0,0,2226559.53,2262883.03,4489442.56,"641 DANDENONG ROAD MALVERN 3144","Hotel","V08096165","Metropolitan","45","45"
15,"ANGLESEA GOLF CLUB",426052.17,0,0,519680.76,511369.95,1031050.71,"GOLF LINKS ROAD ANGLESEA   VIC 3230","Club","V9210193","Country","34","34"
16,"ARARAT RSL",1985765.58,0,0,2238523.89,2008370.09,4246893.98,"74-76 HIGH STREET ARARAT    VIC 3377","Club","V9510044","Country","55","55"
17,"ASHLEY HOTEL",5210447.03,0,0,5861668.8,5268743.37,11130412.17,"226 BALLARAT ROAD BRAYBROOK   VIC 3019","Hotel","V98095066","Metropolitan","50","50"
18,"ASPENDALE EDITHVALE RSL",0,0,0,49998.99,0,49998.99,"111 KINROSS AVENUE EDITHVALE   VIC 3196","Club","V98095114","Metropolitan","0","49"
19,"AUSTRAL HOTEL",940048.24,0,0,1012800.89,936174.14,1948975.03,"185 MURRAY STREET COLAC    VIC 3250","Hotel","V9410167","Country","23","23"
20,"AUSTRALIAN CROATIAN ASSOCIATION",0,0,0,0,0,0,"72 WHITEHALL STREET FOOTSCRAY    VIC 3011","Club","V9310116","Metropolitan","0","0"
21,"AUSTRALIAN CROATIAN NATIONAL HALL",1740510.67,0,0,1635282.1,1440876.52,3076158.62,"101-111 SEPARATION STREET BELL PARK 3215","Club","V9610091","Country","30","30"
22,"BACCHUS MARSH GOLF CLUB",622045.43,0,0,807272.12,658240.11,1465512.23,"LINKS ROAD BACCHUS MARSH    VIC 3340","Club","V01095398","Country","30","30"
23,"BAIRNSDALE BOWLS CLUB",793305.59,0,0,825485.05,747251.74,1572736.79,"CNR GRANT &amp; PEARSON STS BAIRNSDALE   VIC 3875","Club","V9410091","Country","25","25"
24,"BAIRNSDALE CLUB",517849.36,0,0,538321.72,509557.23,1047878.95,"68 NICHOLSON STREET BAIRNSDALE   VIC 3875","Club","V9210207","Country","15","15"
25,"BAIRNSDALE RSL",2233457.3,0,0,2933220.38,2697128.81,5630349.19,"2 FORGE CREEK ROAD BAIRNSDALE  VIC 3875","Club","V9710048","Country","51","69"
26,"BAIRNSDALE SPORTING AND CONVENTION CENTRE",1090144.52,0,0,1099114.32,1053342.96,2152457.28,"117 OMEO HIGHWAY BAIRNSDALE  VIC 3875","Club","V9310112","Country","37","37"
27,"BAKERS ARMS HOTEL",1873709.49,0,0,1851839.81,1839552.68,3691392.49,"355 VICTORIA STREET ABBOTSFORD 3067","Hotel","V02095523","Metropolitan","32","32"
28,"BALACLAVA HOTEL",3309329.05,0,0,3611492.91,3288799.6,6900292.51,"123 CARLISLE STREET BALACLAVA   VIC 3183","Hotel","V98095066","Metropolitan","45","45"
29,"BALLARAT GOLF CLUB",1041753.75,0,0,1077548.64,1067719.43,2145268.07,"1802 STURT STREET BALLARAT 3350","Club","V9310088","Country","28","28"
30,"BALLARAT LEAGUES CLUB",1716344.32,0,0,1971960.74,1788011.3,3759972.04,"52 HUMFFRAY STREET NORTH BALLARAT   VIC 3350","Club","V9710078","Country","54","54"
31,"BALLARAT &amp; DISTRICT TROTTING CLUB",2753957.49,0,0,2932733.27,2750074.19,5682807.46,"BRAY RACEWAY, BELL STREET BALLARAT   VIC 3350","Club","V9510090","Country","50","50"
33,"BARWON HEADS HOTEL",563980.61,0,0,611561.1,640698.03,1252259.13,"1 BRIDGE ROAD BARWON HEADS   VIC 3227","Hotel","V05095902","Country","29","29"
34,"BATMAN'S HILL ON COLLINS",1107674.67,0,0,1471271.98,1205846.12,2677118.1,"623 COLLINS STREET MELBOURNE 3000","Hotel","V06095952","Metropolitan","22","22"
35,"BAXTER TAVERN HOTEL MOTEL",1843322.41,0,0,1950866.47,1917416.58,3868283.05,"117 BAXTER-TOORADIN ROAD BAXTER   VIC 3911","Hotel","V9610070","Metropolitan","30","30"
36,"BAYSWATER HOTEL",5690226.72,0,0,6923108.25,6396812.67,13319920.92,"780 MOUNTAIN HIGHWAY BAYSWATER   VIC 3153","Hotel","V98095066","Metropolitan","80","105"
37,"BEAUMARIS EX-SERVICES CLUB",291734.31,0,0,391580,330946.09,722526.09,"489 BALCOMBE ROAD BEAUMARIS   VIC 3193","Club","V00095376","Metropolitan","30","30"
39,"BELL'S HOTEL",NA,NA,NA,NA,NA,NA,"157 MORAY STREET SOUTH MELBOURNE 3205","Hotel","V12100010","Metropolitan","40","40"
40,"BELL PARK SPORT &amp; RECREATION CLUB",466317.56,0,0,607771.86,502817.09,1110588.95,"34-70 CALVERT STREET HAMLYN HEIGHTS   VIC 3215","Club","V9310025","Country","28","28"
41,"BENALLA BOWLS CLUB",1330803.16,0,0,1348802.16,1277643.15,2626445.31,"25 ARUNDEL STREET BENALLA   VIC 3672","Club","V9310095","Country","50","50"
42,"BENALLA GOLF CLUB",420846.01,0,0,472864,449339.78,922203.78,"MANSFIELD ROAD BENALLA    VIC 3672","Club","V9410133","Country","25","25"
43,"BENDIGO DISTRICT RSL CLUB",2602068.17,0,0,2877624.18,2724482.39,5602106.57,"73-75 HAVILAH ROAD BENDIGO   VIC 3550","Club","V00095365","Country","81","81"
44,"BENDIGO STADIUM",2765669.21,0,0,2951107.82,2558321.42,5509429.24,"134 MARONG ROAD GOLDEN SQUARE 3555","Club","V9610010","Country","105","105"
45,"BENTLEIGH CLUB",1147565.88,0,0,1352034.34,1215765.67,2567800.01,"33 YAWLA STREET BENTLEIGH   VIC 3204","Club","V9410081","Metropolitan","80","80"
46,"BENTLEIGH RSL",2942255.43,0,0,2911377.51,2767501.41,5678878.92,"538 CENTRE ROAD BENTLEIGH   VIC 3204","Club","V98095009","Metropolitan","75","75"
47,"BERWICK INN TAVERNER",4713353.71,0,0,5365326.41,4702299.14,10067625.55,"1 HIGH STREET BERWICK    VIC 3806","Hotel","V98095066","Metropolitan","63","63"
49,"BERWICK SPRINGS HOTEL",NA,NA,NA,NA,NA,NA,"288-296 CLYDE ROAD BERWICK 3806","Hotel","V13100018","Metropolitan","85","85"
50,"BIRALLEE TAVERN",681675.11,0,0,757822.46,634149.12,1391971.58,"97-99 MELROSE DRIVE WODONGA   VIC 3690","Hotel","V09096258","Country","30","30"
51,"BLACKBURN HOTEL",4574289.02,0,0,5123853.16,4813127.55,9936980.71,"111 WHITEHORSE ROAD BLACKBURN    VIC 3130","Hotel","V98095066","Metropolitan","71","102"
52,"BLAZING STUMP HOTEL",547565.31,0,0,481646.83,426168.32,907815.15,"4315 ANZAC PARADE WODONGA   VIC 3690","Hotel","V07096043","Country","40","40"
53,"BLUE BELL HOTEL",3029606.39,0,0,3346251.57,3153482.18,6499733.75,"1216 HOWITT STREET WENDOUREE   VIC 3355","Hotel","V98095066","Country","40","48"
54,"BOUNDARY TAVERNER",5307007.19,0,0,6756724.4,5848758.52,12605482.92,"726 CENTRE ROAD BENTLEIGH EAST   VIC 3165","Hotel","V98095066","Metropolitan","75","90"
55,"BOURKE HILL'S WELCOME STRANGER",7169574.92,0,0,7100165.83,6863972.92,13964138.75,"128 BOURKE STREET MELBOURNE    VIC 3000","Hotel","V9310108","Metropolitan","100","100"
56,"BOX HILL GOLF CLUB",970544.96,0,0,544222.28,825735.43,1369957.71,"202 STATION STREET BOX HILL   VIC 3128","Club","V9210199","Metropolitan","39","39"
57,"BOX HILL RSL",3880269.52,0,0,4174331.63,3946592.61,8120924.24,"26 NELSON ROAD BOX HILL   VIC 3128","Club","V98095116","Metropolitan","95","95"
58,"BRAYBROOK HOTEL",2320919.14,0,0,2363027.72,2090782.24,4453809.96,"353 BALLARAT ROAD BRAYBROOK 3019","Hotel","V02095523","Metropolitan","31","31"
59,"BROADMEADOWS SPORTING CLUB",1265639.33,0,0,1473905.56,1346234.9,2820140.46,"111 SUNSET BOULEVARD JACANA   VIC 3047","Club","V9310004","Metropolitan","55","64"
60,"BROWNS CORNER",2097506.89,0,0,2185211.31,2067296.33,4252507.64,"502 SYDNEY ROAD COBURG    VIC 3058","Hotel","V06095980","Metropolitan","28","28"
61,"BUNDOORA BOWLING CLUB",531362.64,0,0,459295.93,393355.62,852651.55,"YULONG RESERVE, CAMERON PARADE BUNDOORA 3083","Club","V98095108","Metropolitan","20","20"
62,"BUNDOORA TAVERNER",9435112.93,0,0,9832846.87,9368974.74,19201821.61,"49 PLENTY ROAD BUNDOORA   VIC 3083","Hotel","V98095066","Metropolitan","90","100"
63,"BURVALE HOTEL",6334584.63,0,0,7491828.73,6527806.91,14019635.64,"CNR SPRINGVALE ROAD &amp; BURWOOD HIGHWAY NUNAWADING   VIC 3131","Hotel","V98095066","Metropolitan","73","103"
64,"CARDINIA CLUB",5316558.48,0,0,5158810.16,4978291.96,10137102.12,"71 RACECOURSE ROAD PAKENHAM   VIC 3810","Club","V9510034","Metropolitan","105","105"
65,"CASA D'ABRUZZO CLUB",2731063.56,0,0,2862723.18,2606178.03,5468901.21,"55 O'HERNS ROAD EPPING   VIC 3076","Club","V9210077","Metropolitan","75","75"
66,"CAULFIELD GLASSHOUSE",6076707.9,0,0,6525832.68,6267433.32,12793266,"STATION STREET CAULFIELD   VIC 3162","Club","V9780041","Metropolitan","105","105"
67,"CAULFIELD RSL",999316.07,0,0,990932.95,935492.85,1926425.8,"4 ST GEORGES ROAD ELSTERNWICK  VIC 3185","Club","V99095183","Metropolitan","52","52"
68,"CELTIC CLUB",499647.51,0,0,560273.78,503504.89,1063778.67,"316 - 320 QUEEN STREET MELBOURNE   VIC 3000","Club","V9510078","Metropolitan","41","46"
69,"CENTURY CITY WALK",4563166.74,0,0,4642632.61,4493944.21,9136576.82,"285-287 SPRINGVALE ROAD GLEN WAVERLEY  VIC 3150","Hotel","V98095066","Metropolitan","65","75"
70,"CHALAMBAR GOLF CLUB",721203,0,0,698265.9,679229.7,1377495.6,"118 GOLF LINKS ROAD ARARAT   VIC 3377","Club","V9210186","Country","33","33"
71,"CHELSEA HEIGHTS HOTEL",2553053.92,0,0,2808512.48,2660588.38,5469100.86,"1 WELLS ROAD CHELSEA HEIGHTS 3196","Hotel","V98095066","Metropolitan","40","40"
72,"CHELSEA RSL",1784656.36,0,0,2033048.03,1829161.03,3862209.06,"4 THAMES PROMENADE CHELSEA   VIC 3196","Club","V98095114","Metropolitan","65","65"
73,"CHELTENHAM MOORABBIN RSL",1044563.16,0,0,1151274.43,1051186.76,2202461.19,"289 CENTRE DANDENONG ROAD CHELTENHAM   VIC 3192","Club","V00095370","Metropolitan","41","41"
74,"CHERRY HILL TAVERN",3777623.17,0,0,4007962.55,3733443.39,7741405.94,"189 REYNOLDS ROAD DONCASTER EAST 3109","Hotel","V98095066","Metropolitan","50","50"
75,"CHIRNSIDE PARK COUNTRY CLUB",614387.52,0,0,646282.27,591096.97,1237379.24,"68 KINGSWOOD DRIVE CHIRNSIDE PARK 3116","Club","V9210106","Metropolitan","37","37"
76,"CITY BOWLS CLUB COLAC",564148.62,0,0,566990.14,468380.35,1035370.49,"CENTRAL RESERVE, GRAVESEND STREET COLAC    VIC 3250","Club","V9510002","Country","20","20"
77,"CITY FAMILY HOTEL",1842956.34,0,0,1771018.29,1893176.11,3664194.4,"41-55 HIGH STREET BENDIGO   VIC 3550","Hotel","V06095964","Country","39","39"
78,"CITY MEMORIAL BOWLS CLUB",1315142.7,0,0,1525114.43,1471082.35,2996196.78,"50-58 CRAMER STREET WARRNAMBOOL   VIC 3280","Club","V9210194","Country","38","38"
79,"CLAYTON BOWLS CLUB",952886.87,0,0,1066700.76,949835.63,2016536.39,"SPRINGS ROAD CLAYTON SOUTH   VIC 3169","Club","V9410161","Metropolitan","29","29"
80,"CLAYTON RSL",2041519.86,0,0,1958337.23,1893000.69,3851337.92,"163 CARINISH ROAD CLAYTON   VIC 3168","Club","V9710064","Metropolitan","71","71"
81,"CLIFTON SPRINGS GOLF CLUB",1486479.31,0,0,1582753.75,1562170.12,3144923.87,"92-94 CLEARWATER DRIVE CLIFTON SPRINGS 3222","Club","V9410013","Country","40","40"
82,"CLOCKS AT FLINDERS STREET STATION",4346710.9,0,0,4243628.59,4012312.35,8255940.94,"SHOP 17, FLINDERS STREET RAILWAY STATION MELBOURNE   VIC 3000","Club","V9510030","Metropolitan","100","100"
83,"CLUB HAWTHORN",616825.75,0,0,907727.83,685477.47,1593205.3,"627 GLENFERRIE ROAD HAWTHORN 3122","Club","V9310107","Metropolitan","43","43"
84,"CLUB HOTEL",2414466.79,0,0,3087269.34,2768293.82,5855563.16,"6 MT DANDENONG ROAD EAST RINGWOOD   VIC 3135","Hotel","V98095066","Metropolitan","50","75"
85,"CLUB HOTEL (FERNTREE GULLY)",2756261.57,0,0,2963935.39,2641738.73,5605674.12,"848 BURWOOD HIGHWAY FERNTREE GULLY   VIC 3156","Hotel","V98095066","Metropolitan","40","45"
86,"CLUB HOTEL (WARRAGUL)",1250645.97,0,0,1174790.98,1167073.84,2341864.82,"51 QUEEN STREET WARRAGUL    VIC 3820","Hotel","V9710006","Country","30","30"
87,"CLUB ITALIA SPORTING CLUB",2406901.22,0,0,2137736.11,1980273.62,4118009.73,"128-152 FURLONG ROAD NORTH SUNSHINE   VIC 3020","Club","V9710058","Metropolitan","60","60"
88,"CLUB KILSYTH",4424404.51,0,0,4684869.07,4058393.58,8743262.65,"CNR CANTERBURY AND COLCHESTER ROADS BAYSWATER NORTH 3143","Club","V9810084","Metropolitan","100","100"
89,"CLUB LAVERTON",3581521.36,0,0,3998935.01,3669613.48,7668548.49,"15 AVIATION ROAD LAVERTON 3028","Club","V00095320","Metropolitan","60","60"
90,"CLUB LEEDS",1703139.72,0,0,1636337.85,1530242.93,3166580.78,"17 LEEDS STREET FOOTSCRAY 3011","Club","V9710073","Metropolitan","25","30"
91,"CLUB RINGWOOD",2354405.61,0,0,2317542.38,2113447.94,4430990.32,"523-531 MAROONDAH HIGHWAY RINGWOOD 3134","Club","V9810084","Metropolitan","75","75"
92,"CLUB TIVOLI",78945.46,0,0,103536.8,64260.1,167796.9,"291 DANDENONG ROAD WINDSOR   VIC 3181","Club","V9210143","Metropolitan","18","18"
93,"CLUB WARRANDYTE",0,0,0,291750.99,146675.73,438426.72,"110 YARRA STREET WARRANDYTE VIC 3113","Club","V99095185","Metropolitan","0","27"
94,"COBDEN GOLF CLUB",637685.92,0,0,671326.18,662307.37,1333633.55,"NEYLON STREET COBDEN     VIC 3266","Club","V9410142","Country","28","28"
95,"COBRAM HOTEL",574570.04,0,0,0,0,0,"8-18 STATION STREET COBRAM 3644","Hotel","V09096271","Country","38","38"
96,"COLAC BOWLING CLUB",480294.35,0,0,449305.29,457987.74,907293.03,"CNR MOORE AND ARMSTRONG STREETS COLAC    VIC 3250","Club","V9410126","Country","20","20"
97,"COLAC RSL",364174.78,0,0,428957.3,336377.52,765334.82,"21 MURRAY STREET COLAC   VIC 3250","Club","V9210205","Country","25","25"
98,"COMMERCIAL HOTEL (CAMPERDOWN)",971583.84,0,0,1116968.65,946547.7,2063516.35,"115 MANIFOLD STREET CAMPERDOWN    VIC 3260","Hotel","V9410104","Country","29","29"
99,"COMMERCIAL HOTEL (SWAN HILL)",445109.37,0,0,561581.65,513905.6,1075487.25,"91-105 CAMPBELL STREET SWAN HILL   VIC 3585","Hotel","V07096000","Country","14","18"
100,"COMMERCIAL TAVERNER",6819325.54,0,0,6869391.03,6063721.49,12933112.52,"111 WATTON STREET WERRIBEE   VIC 3030","Hotel","V98095066","Metropolitan","75","75"
101,"COOLAROO TAVERNER",3162655.88,0,0,3629563.61,3281571.9,6911135.51,"CNR BARRY ROAD &amp; MAFFRA STREET COOLAROO   VIC 3048","Hotel","V98095066","Metropolitan","48","54"
102,"CORRYONG SPORTING COMPLEX",196019.94,0,0,191570.45,203754.94,395325.39,"RECREATION RESERVE CORRYONG   VIC 3707","Club","V9410145","Country","10","10"
103,"COURT HOUSE HOTEL (BACCHUS MARSH)",2000193.04,0,0,2183712.06,1931360.76,4115072.82,"116 MAIN STREET BACCHUS MARSH    VIC 3340","Hotel","V12100009","Country","40","40"
104,"COURT HOUSE HOTEL (BRUNSWICK)",492537.68,0,0,514192,451453.42,965645.42,"615 SYDNEY ROAD BRUNSWICK    VIC 3056","Hotel","V11100000","Metropolitan","20","20"
105,"COURT HOUSE HOTEL (FOOTSCRAY)",1788135.34,0,0,1889305.96,1852354.06,3741660.02,"166 NICHOLSON STREET FOOTSCRAY 3011","Hotel","V98095066","Metropolitan","21","21"
106,"COURT JESTER HOTEL",3859660.55,0,0,4383577.56,4042648.97,8426226.53,"270 CHAPEL STREET PRAHRAN    VIC 3181","Hotel","V04095783","Metropolitan","48","48"
107,"CRAIG'S ROYAL HOTEL",2165800,0,0,2551511.94,2311068.46,4862580.4,"10 LYDIARD STREET SOUTH BALLARAT   VIC 3350","Hotel","V9410066","Country","45","45"
108,"CRAIGIEBURN SPORTING CLUB",5341473.01,0,0,5523781.93,5366180.31,10889962.24,"WILLMOTT PARK, CRAIGIEBURN ROAD CRAIGIEBURN   VIC 3064","Club","V9310034","Metropolitan","70","70"
109,"CRAMERS HOTEL",6061464.18,0,0,6202227.71,5915609.16,12117836.87,"1 CRAMER STREET PRESTON   VIC 3072","Hotel","V98095066","Metropolitan","80","100"
110,"CRANBOURNE RSL",970227.16,0,0,1324384.87,984359.99,2308744.86,"1475 SOUTH GIPPSLAND HIGHWAY CRANBOURNE   VIC 3977","Club","V98095067","Metropolitan","50","50"
111,"CROSS KEYS HOTEL",2002938.21,0,0,2360404.27,2041405.21,4401809.48,"350 PASCOE VALE ROAD ESSENDON    VIC 3040","Hotel","V09096296","Metropolitan","40","40"
112,"CROWN HOTEL",4259250.58,0,0,3868328.73,3625215.33,7493544.06,"273 MAIN STREET LILYDALE  VIC 3140","Hotel","V12100006","Metropolitan","68","68"
113,"CROXTON PARK HOTEL",3554736.41,0,0,4332018.24,3507328.91,7839347.15,"607-619 HIGH STREET THORNBURY   VIC 3071","Hotel","V98095066","Metropolitan","55","100"
114,"CROYDON HOTEL",5242699.93,0,0,4995082.31,4801578.94,9796661.25,"47 MAROONDAH HIGHWAY CROYDON   VIC 3136","Hotel","V00095313","Metropolitan","91","95"
115,"CUMBERLAND HOTEL",1556859.2,0,0,1696675.74,1501695.19,3198370.93,"191 BARKER STREET CASTLEMAINE  VIC 3450","Hotel","V03095561","Country","30","30"
116,"DANDENONG CLUB",4637882.65,0,0,4716242.32,4333602.62,9049844.94,"1579 HEATHERTON ROAD DANDENONG   VIC 3175","Club","V9210098","Metropolitan","94","94"
117,"DANDENONG RSL",3130909.79,0,0,3201068.14,2979980.45,6181048.59,"44 - 50 CLOW STREET DANDENONG   VIC 3175","Club","V98095067","Metropolitan","63","63"
118,"DANDENONG WORKERS SOCIAL CLUB",1828078.06,0,0,1865716.1,1767271.52,3632987.62,"48 WEDGE STREET DANDENONG  VIC 3175","Club","V9410046","Metropolitan","77","77"
119,"DAREBIN RSL",1536519.36,0,0,1362464.61,1311822.27,2674286.88,"402 BELL STREET PRESTON   VIC 3072","Club","V99095218","Metropolitan","65","65"
120,"DAVA HOTEL",1362204.87,0,0,1525606.74,1414675.18,2940281.92,"610 THE ESPLANADE MT MARTHA    VIC 3934","Hotel","V9710027","Metropolitan","32","32"
121,"DAYLESFORD BOWLING CLUB",670689.85,0,0,693560.51,701931.61,1395492.12,"8 CAMP STREET DAYLESFORD   VIC 3460","Club","V9310098","Country","32","32"
122,"DEER PARK CLUB",4766440.06,0,0,4043933.29,4253065.01,8296998.3,"780 BALLARAT ROAD DEER PARK   VIC 3023","Club","V9310129","Metropolitan","68","68"
123,"DEER PARK HOTEL",7688444.3,0,0,9458158.53,8581760.09,18039918.62,"760 BALLARAT ROAD DEER PARK  VIC 3023","Hotel","V98095066","Metropolitan","80","100"
124,"DERRIMUT HOTEL",4562467.35,0,0,4352636.71,4204740.77,8557377.48,"132 DURHAM ROAD SUNSHINE   VIC 3020","Hotel","V99095257","Metropolitan","55","55"
125,"DIAMOND CREEK TAVERN",2111375.27,0,0,2219075.27,1998641.64,4217716.91,"29 MAIN ROAD DIAMOND CREEK   VIC 3089","Hotel","V9780033","Metropolitan","40","40"
126,"DICK WHITTINGTON TAVERN",1122352.55,0,0,1174905.3,1179973.69,2354878.99,"32 CHAPEL STREET ST KILDA   VIC 3182","Hotel","V04095786","Metropolitan","29","29"
127,"DINGLEY INTERNATIONAL HOTEL",7290582.48,0,0,7037441.14,6675807.38,13713248.52,"334 BOUNDARY ROAD DINGLEY   VIC 3172","Hotel","V9210155","Metropolitan","90","90"
128,"DONCASTER HOTEL",7334104.18,0,0,8346047.03,7632028.82,15978075.85,"855 DONCASTER ROAD DONCASTER   VIC 3108","Hotel","V98095066","Metropolitan","80","100"
129,"DORSET GARDENS HOTEL",8115305.68,0,0,7685200.6,7602014.59,15287215.19,"335 DORSET ROAD CROYDON 3136","Hotel","V06095993","Metropolitan","97","97"
130,"DROMANA HOTEL",2564287.88,0,0,2576356.33,2794012.21,5370368.54,"151-165 NEPEAN HIGHWAY DROMANA   VIC 3936","Hotel","V9410076","Metropolitan","41","41"
131,"DRUMS HOTEL",5288799.59,0,0,5242839.31,4888577.89,10131417.2,"613 SYDNEY ROAD COBURG   VIC 3058","Hotel","V9610062","Metropolitan","75","85"
132,"DUKE OF EDINBURGH",3039604.53,0,0,3171624.25,3016072.77,6187697.02,"430-436 SYDNEY ROAD BRUNSWICK VIC 3056","Hotel","V12100008","Metropolitan","50","50"
133,"EAST MALVERN RSL",468408.66,0,0,496258.4,485662.18,981920.58,"STANLEY GROSE DRIVE MALVERN EAST 3145","Club","V98095037","Metropolitan","33","33"
134,"EASTWOOD GOLF CLUB",135158.12,0,0,185027.32,150266.42,335293.74,"LIVERPOOL ROAD KILSYTH   VIC 3137","Club","V9210145","Metropolitan","19","19"
135,"ECHUCA HOTEL",490134.34,0,0,368991.05,419711.5,788702.55,"569-571 HIGH STREET ECHUCA     VIC 3564","Hotel","V03095658","Country","30","30"
