"index","name","LossJulDec12","LossJanJun13","LossJul12Jun13","LossJulDec11","LossJanJun12","LossJul11Jun12","address","type","vo","region","attached_entitlements","egms"
136,"ECHUCA WORKERS AND SERVICES CLUB",1745064.94,0,0,1897846.61,1855889.15,3753735.76,"165 -171 ANNESLEY STREET ECHUCA   VIC 3564","Club","V9310122","Country","84","84"
137,"EDWARDES LAKE HOTEL",6675890.98,0,0,5872160.42,5948983.73,11821144.15,"257 EDWARDES STREET RESERVOIR 3073","Hotel","V9510066","Metropolitan","100","100"
138,"ELGIN'S",2448418.66,0,0,2708956.7,2438320.07,5147276.77,"51-53 ELGIN STREET WODONGA   VIC 3690","Hotel","V9210211","Country","80","80"
139,"ELSTERNWICK HOTEL",891635.73,0,0,1154524.01,1048801.3,2203325.31,"259 BRIGHTON ROAD ELWOOD    VIC 3184","Hotel","V98095066","Metropolitan","28","34"
140,"ELTHAM HOTEL",2062418.88,0,0,2661215.95,2424278.85,5085494.8,"746 MAIN ROAD ELTHAM   VIC 3095","Hotel","V98095066","Metropolitan","40","57"
142,"ELWOOD RSL",83919.32,0,0,526522.27,435595.39,962117.66,"2 PINE AVENUE ELWOOD   VIC 3184","Club","V99095170","Metropolitan","0","34"
143,"EPPING HOTEL",3767464.45,0,0,4007187.5,3899201.35,7906388.85,"743 HIGH STREET EPPING   VIC 3076","Hotel","V05095899","Metropolitan","40","40"
144,"EPPING PLAZA HOTEL",10831367.11,0,0,11047676.56,10360817.07,21408493.63,"EPPING PLAZA SHOPPING CENTRE, CNR HIGH &amp; COOPER ST EPPING   VIC 3076","Hotel","V9510064","Metropolitan","100","100"
145,"EPPING RSL",1517846.77,0,0,1506113.37,1420355.54,2926468.91,"195 HARVEST HOME ROAD EPPING    VIC 3076","Club","V99095214","Metropolitan","45","45"
146,"ESPLANADE HOTEL (INVERLOCH)",126677.52,0,0,1045901.24,802647.44,1848548.68,"1 A'BECKETT STREET INVERLOCH 3996","Hotel","V9410024","Country","0","17"
147,"ESPLANADE HOTEL (QUEENSCLIFF)",171609.64,0,0,224469.81,244880.32,469350.13,"2 GELLIBRAND STREET QUEENSCLIFF 3225","Hotel","V06095960","Country","20","20"
148,"ESSENDON FOOTBALL &amp; COMMUNITY SPORTING CLUB",3327599.37,0,0,3392658.03,3425479.51,6818137.54,"CNR NAPIER STREET &amp; BREWSTER STREET ESSENDON   VIC 3040","Club","V04095766","Metropolitan","100","100"
149,"EXCELSIOR HOTEL",7714525.48,0,0,9806928.85,9132898.25,18939827.1,"82 MAHONEY'S ROAD THOMASTOWN   VIC 3074","Hotel","V98095066","Metropolitan","87","105"
150,"FAIRFIELD &amp; ALPHINGTON RSL",491533.99,0,0,503198.53,426167.27,929365.8,"7 RAILWAY PLACE FAIRFIELD    VIC 3078","Club","V99095218","Metropolitan","30","30"
151,"FAMILY HOTEL",776940.19,0,0,864178.3,804101.69,1668279.99,"65 PRINCES WAY DROUIN 3818","Hotel","V04095713","Country","20","20"
152,"FAWKNER RSL",711432.58,0,0,771893.58,664462.93,1436356.51,"135 LORNE STREET FAWKNER    VIC 3060","Club","V98095094","Metropolitan","35","35"
153,"FERNTREE GULLY BOWLING CLUB",618066.05,0,0,666097.66,586491.81,1252589.47,"14 MERRICKS CLOSE FERNTREE GULLY   VIC 3156","Club","V9410085","Metropolitan","34","34"
154,"FERNTREE GULLY HOTEL",2511403.41,0,0,3270944.47,2452544.28,5723488.75,"1130 BURWOOD HIGHWAY FERNTREE GULLY   VIC 3156","Hotel","V98095066","Metropolitan","50","70"
155,"FIRST &amp; LAST HOTEL",5190211.45,0,0,6140338.92,5299262.21,11439601.13,"1141 SYDNEY ROAD FAWKNER   VIC 3060","Hotel","V98095066","Metropolitan","60","70"
156,"FLEMINGTON RACECOURSE TABARET",1811049.88,0,0,1525794.23,1553697.18,3079491.41,"EPSOM ROAD FLEMINGTON   VIC 3031","Club","V9780048","Metropolitan","80","80"
157,"Flying Horse Bar and Brewery",NA,NA,NA,NA,NA,NA,"10691-10699 Princes Highway Warrnambool 3280","Hotel","V09096300","Country","8","8"
158,"FORESTERS ARMS HOTEL",2750247.45,0,0,2976580.01,2796329.05,5772909.06,"1529 DANDENONG ROAD OAKLEIGH    VIC 3166","Hotel","V07096008","Metropolitan","46","46"
159,"FOSTER GOLF CLUB",435936.95,0,0,460406.96,496295.41,956702.37,"7 RESERVE STREET FOSTER    VIC 3960","Club","V9310111","Country","25","25"
160,"FOUNTAIN GATE TAVERNER",7411908.28,0,0,8152545.98,7411452.08,15563998.06,"FOUNTAIN GATE SHOPPING CENTRE, OVERLAND DRIVE NARRE WARREN 3805","Hotel","V98095066","Metropolitan","80","95"
161,"FRANKSTON FOOTBALL CLUB",716610.37,0,0,825162.76,717986.4,1543149.16,"CNR PLOWMAN PLACE &amp; YOUNG STREET FRANKSTON   VIC 3199","Club","V9410049","Metropolitan","27","27"
162,"FRANKSTON RSL",4709711.28,0,0,4799965.41,4344529.3,9144494.71,"183 CRANBOURNE ROAD FRANKSTON  VIC 3199","Club","V9780030","Metropolitan","82","82"
163,"FRECCIA AZZURRA CLUB",603068.15,0,0,607781.72,570289.36,1178071.08,"784-796 SPRINGVALE ROAD KEYSBOROUGH   VIC 3173","Club","V9510040","Metropolitan","30","35"
164,"FURLAN CLUB",667254.27,0,0,697663.14,600680.17,1298343.31,"1 MATISI STREET THORNBURY  VIC 3071","Club","V9210101","Metropolitan","40","52"
165,"GATEWAY HOTEL",3409144.02,0,0,3631010,3359290.69,6990300.69,"218 PRINCES HIGHWAY CORIO    VIC 3214","Hotel","V98095066","Country","50","60"
166,"GEELONG COMBINED LEAGUES CLUB",4538254.49,0,0,4647745.93,4632275.6,9280021.53,"54 FELLMONGERS ROAD BREAKWATER  VIC 3219","Club","V9310065","Country","105","105"
167,"GEELONG FOOTBALL CLUB",2020330.7,0,0,2166149.93,1994402.59,4160552.52,"LATROBE TERRACE, KARDINIA PARK GEELONG VIC 3220","Club","V00095315","Country","100","100"
168,"GEELONG RSL",1301256.23,0,0,1311362.4,1270153.55,2581515.95,"50 BARWON HEADS ROAD BELMONT VIC 3216","Club","V98095076","Country","42","42"
169,"GEORGE HOTEL",840442.07,0,0,1065079.95,883357.61,1948437.56,"27 LYDIARD STREET NORTH BALLARAT   VIC 3350","Hotel","V98095064","Country","28","42"
170,"GLADSTONE PARK HOTEL",9639291.94,0,0,9625195.67,8939643.71,18564839.38,"186-202 MICKLEHAM ROAD TULLAMARINE  VIC 3043","Hotel","V9210191","Metropolitan","86","86"
171,"GLENGALA HOTEL",4283281.5,0,0,4437756.1,4161956.97,8599713.07,"214 GLENGALA ROAD SUNSHINE   VIC 3020","Hotel","V98095066","Metropolitan","50","50"
172,"GLENROY RSL",1990529.26,0,0,2071605.25,1851563.13,3923168.38,"186 GLENROY ROAD GLENROY   VIC 3046","Club","V98095023","Metropolitan","40","40"
173,"GOLDEN FLEECE HOTEL (MELTON)",4246551.77,0,0,4167207,3606131.27,7773338.27,"257-263 HIGH STREET MELTON   VIC 3337","Hotel","V03095675","Metropolitan","45","45"
174,"GOLDEN FLEECE HOTEL (SOUTH MELBOURNE)",0,0,0,0,0,0,"120 MONTAGUE STREET SOUTH MELBOURNE 3205","Hotel","V09096318","Metropolitan","25","25"
175,"GOLDEN NUGGET",4102589.22,0,0,4071130.43,4110176.94,8181307.37,"117 LONSDALE STREET MELBOURNE   VIC 3000","Hotel","V05095892","Metropolitan","60","60"
176,"GOLF HOUSE HOTEL",682074.23,0,0,805373.25,691786.75,1497160,"920 DOVETON STREET NORTH BALLARAT   VIC 3350","Hotel","V12100005","Country","22","22"
177,"GORDON HOTEL",650076.44,0,0,545261.12,614904.54,1160165.66,"63 BENTINCK STREET PORTLAND   VIC 3305","Hotel","V09096280","Country","23","23"
178,"GOULBURN VALLEY HOTEL",2908082.64,0,0,2984146.91,3032086.53,6016233.44,"223 HIGH STREET SHEPPARTON    VIC 3630","Hotel","V05095916","Country","40","40"
179,"GRAND CENTRAL HOTEL (HAMILTON)",2287391.19,0,0,2213129.82,2045452.24,4258582.06,"141 GRAY STREET HAMILTON   VIC 3300","Hotel","V9310119","Country","40","40"
180,"GRAND HOTEL (FRANKSTON)",3007006.92,0,0,3055540.73,2991222.12,6046762.85,"499 NEPEAN HIGHWAY FRANKSTON   VIC 3199","Hotel","V05095893","Metropolitan","64","64"
181,"GRAND HOTEL (MORNINGTON)",5640152.32,0,0,5522759.46,5579454.18,11102213.64,"124 MAIN ROAD MORNINGTON 3931","Hotel","V9780016","Metropolitan","70","70"
182,"GRAND JUNCTION HOTEL",2742862.57,0,0,2727046.48,2322239.3,5049285.78,"8-22 FRANKLIN STREET TRARALGON   VIC 3844","Hotel","V9310058","Country","34","34"
183,"GRAND TERMINUS HOTEL",672433.59,0,0,740533.77,683317.04,1423850.81,"98 MACLEOD STREET BAIRNSDALE  VIC 3875","Hotel","V04095808","Country","24","24"
184,"GREAT WESTERN HOTEL",2319192.64,0,0,2483477.44,2079946.16,4563423.6,"177 ABERDEEN STREET NEWTOWN   VIC 3220","Hotel","V9610078","Country","36","36"
185,"GREEN GULLY SOCCER CLUB",2918220.16,0,0,3274967.61,2916693.14,6191660.75,"GREEN GULLY RESERVE , LOT 2 GREEN GULLY ROAD KEILOR DOWNS    VIC 3038","Club","V9410006","Metropolitan","70","70"
186,"GREENSBOROUGH HOTEL",1401206.36,0,0,1649860.08,1302965.25,2952825.33,"75 MAIN STREET GREENSBOROUGH    VIC 3088","Hotel","V9410018","Metropolitan","30","30"
187,"GREENSBOROUGH RSL",2348636.05,0,0,2476492.71,2528443.84,5004936.55,"111 MAIN STREET GREENSBOROUGH   VIC 3088","Club","V98095096","Metropolitan","78","78"
188,"GREYHOUNDS ENTERTAINMENT",6540636.91,0,0,6377194.6,5973973.44,12351168.04,"LIGHTWOOD ROAD SPRINGVALE   VIC 3171","Club","V9210187","Metropolitan","93","93"
189,"GROSVENOR HOTEL",297863.44,0,0,505029.06,364483.16,869512.22,"10 BRIGHTON ROAD ST KILDA   VIC 3182","Hotel","V07096011","Metropolitan","22","22"
190,"GROVEDALE HOTEL",5394702.08,0,0,5865479.99,5226246.64,11091726.63,"236-258 SURFCOAST HIGHWAY GROVEDALE 3216","Hotel","V05095885","Country","80","80"
191,"HALLAM TAVERNER",6479017.33,0,0,8405795.43,7171176.67,15576972.1,"241 PRINCES HWY HALLAM   VIC 3803","Hotel","V98095066","Metropolitan","80","92"
192,"HAMPTON BOWLS CLUB",549301.76,0,0,602366.32,526693.84,1129060.16,"CNR FEWSTER ROAD &amp; EARLSFIELD ROAD HAMPTON    VIC 3188","Club","V9310115","Metropolitan","30","30"
193,"HAMPTON PARK TAVERN",5920367.26,0,0,6307219.14,5635187.76,11942406.9,"71 HALLAM ROAD HAMPTON PARK   VIC 3976","Hotel","V9210202","Metropolitan","73","73"
194,"HAMPTON RSL",128370.14,0,0,149938.21,131554.5,281492.71,"25 HOLYROOD STREET HAMPTON   VIC 3188","Club","V9410014","Metropolitan","20","20"
195,"HARP OF ERIN HOTEL",3875365.72,0,0,3799989.11,3812402.39,7612391.5,"636 HIGH STREET KEW EAST 3102","Hotel","V9410017","Metropolitan","47","47"
196,"HASTINGS CRICKET &amp; FOOTBALL SOCIAL CLUB",1598059.19,0,0,1641722.54,1529864.56,3171587.1,"155 MARINE PARADE HASTINGS   VIC 3915","Club","V9310010","Metropolitan","50","50"
197,"HEALESVILLE RSL",1236859.02,0,0,1342525.2,1326317.98,2668843.18,"275-279 MAROONDAH HIGHWAY HEALESVILLE   VIC 3777","Club","V99095226","Metropolitan","50","50"
198,"HEIDELBERG RSL",147335.75,0,0,180590.74,172972.43,353563.17,"87 MOUNT STREET HEIDELBERG    VIC 3084","Club","V07096007","Metropolitan","25","25"
199,"HIGHETT RETURNED &amp; SERVICES CLUB",706049.07,0,0,814600.66,732240.19,1546840.85,"1 STATION STREET HIGHETT   VIC 3190","Club","V9210081","Metropolitan","41","41"
200,"HIGHLANDS HOTEL",471372.32,0,0,0,0,0,"301 GRAND BOULEVARD CRAIGIEBURN 3064","Hotel","V09096312","Metropolitan","60","60"
201,"HIGHPOINT TAVERNER",3576719.38,0,0,4489901.12,4005212.75,8495113.87,"HIGHPOINT SHOPPING CENTRE, 200 ROSAMOND ROAD MARIBYRNONG  VIC 3032","Hotel","V98095066","Metropolitan","52","70"
202,"HIGHWAYS SANDOWN",8958954.2,0,0,8757164.01,8216107.87,16973271.88,"591-659 PRINCES HWY SPRINGVALE   VIC 3171","Club","V9780041","Metropolitan","90","90"
203,"HILL TOP GOLF AND COUNTRY CLUB",218223.75,0,0,291037.39,263499.43,554536.82,"GOWRIE STREET TATURA   VIC 3616","Club","V9410108","Country","20","20"
204,"HOGANS HOTEL",1631117.15,0,0,1746341.7,1589622.93,3335964.63,"92 HIGH STREET WALLAN 3756","Hotel","V03095619","Country","34","39"
205,"HOPPERS CROSSING CLUB",3774820.18,0,0,3926908.91,3489856.22,7416765.13,"180 - 200 PANNAM DRIVE HOPPERS CROSSING 3029","Club","V9210166","Metropolitan","91","91"
206,"HOPPERS CROSSING SPORTS CLUB",1913361.94,0,0,2147600.89,1942233.14,4089834.03,"HOGANS RESERVE, HOGANS ROAD HOPPERS CROSSING 3029","Club","V9410037","Metropolitan","55","55"
207,"HORSHAM RSL",1133820.86,0,0,1071570.15,998119.62,2069689.77,"36 MCLACHLAN STREET HORSHAM    VIC 3400","Club","V9710074","Country","36","36"
208,"HORSHAM SPORTS &amp; COMMUNITY CLUB",2563571.51,0,0,2178455.45,2239180.17,4417635.62,"177-179 BAILLIE ST HORSHAM   VIC 3400","Club","V9310012","Country","78","78"
209,"HOTEL 520 ON SAYERS",1983123.24,0,0,0,0,0,"520 SAYERS  ROAD TARNEIT 3029","Hotel","V09096285","Metropolitan","65","65"
211,"ITALIAN AUSTRALIAN SPORTING AND SOCIAL CLUB OF GIPPSLAND",1481719.48,0,0,1508553.46,1235595.37,2744148.83,"499-501 PRINCES HIGHWAY MORWELL   VIC 3840","Club","V9780040","Country","42","42"
212,"ITALIAN SPORTS CLUB OF WERRIBEE",2830596.04,0,0,2975236.37,2845313.36,5820549.73,"601 HEATHS ROAD WERRIBEE    VIC 3030","Club","V9310110","Metropolitan","70","70"
213,"IVANHOE HOTEL",5085964.56,0,0,5792444.5,5198128.9,10990573.4,"120 UPPER HEIDELBERG ROAD IVANHOE   VIC 3079","Hotel","V9710043","Metropolitan","100","100"
214,"JOKERS ON RYRIE",2115463.05,0,0,2119119.6,1981810.56,4100930.16,"211 RYRIE STREET GEELONG   VIC 3220","Hotel","V07096058","Country","47","47"
215,"JUNCTION HOTEL",3257903.19,0,0,3375841.76,2891601.12,6267442.88,"1 PLENTY ROAD PRESTON   VIC 3072","Hotel","V08096198","Metropolitan","46","46"
216,"KANGAROO FLAT SPORTS CLUB",1155493.86,0,0,1283860.34,1186588.56,2470448.9,"DOWER PARK, MACKENZIE STREET WEST KANGAROO FLAT   VIC 3555","Club","V9410098","Country","60","60"
217,"KARINGAL BOWLING CLUB",1231452.47,0,0,1310741.93,1180634.15,2491376.08,"248 SKYE ROAD FRANKSTON    VIC 3199","Club","V9510027","Metropolitan","29","29"
218,"KEALBA HOTEL",9296329.93,0,0,9465266.58,8843745.81,18309012.39,"CNR SUNSHINE AVENUE &amp; MAIN ROAD EAST KEALBA 3021","Hotel","V9610012","Metropolitan","86","86"
219,"KEILOR EAST RSL",910099.6,0,0,1108209.74,930005.86,2038215.6,"12-22 HOFFMANS ROAD ESSENDON   VIC 3040","Club","V99095181","Metropolitan","25","25"
220,"KEILOR HOTEL",2897115.57,0,0,3003547.73,2856412.65,5859960.38,"670 OLD CALDER HIGHWAY KEILOR   VIC 3036","Hotel","V9310017","Metropolitan","50","50"
221,"KERANG SPORTS AND ENTERTAINMENT VENUE",681777.05,0,0,775671.65,780963.1,1556634.75,"25 VICTORIA STREET KERANG 3579","Club","V05095928","Country","45","45"
222,"KEYSBOROUGH HOTEL",8622326.01,0,0,9900345.4,9405773.01,19306118.41,"CNR CORRIGAN &amp; CHELTENHAM RDS KEYSBOROUGH 3173","Hotel","V98095066","Metropolitan","87","89"
223,"KILMORE TRACKSIDE",2321766.87,0,0,2310320.51,2337541.51,4647862.02,"EAST STREET KILMORE 3764","Club","V00095347","Country","76","76"
224,"KINGS CREEK HOTEL",1833175.79,0,0,1928082.75,1869017.04,3797099.79,"1989 FRANKSTON-FLINDERS ROAD HASTINGS   VIC 3915","Hotel","V9410144","Metropolitan","33","33"
225,"KIRKPATRICKS HOTEL",996647.85,0,0,1132543.8,1057480.08,2190023.88,"774 THE ESPLANADE MORNINGTON 3931","Hotel","V07096040","Metropolitan","40","40"
226,"KNOX CLUB",3632045.7,0,0,3991633.88,3800235.34,7791869.22,"CNR STUD &amp; BORONIA ROADS WANTIRNA   VIC 3152","Club","V9780056","Metropolitan","100","100"
228,"KNOX TAVERN",NA,NA,NA,NA,NA,NA,"1 CAPITAL CITY BOULEVARD, KNOX DISTRICT CENTRE WANTIRNA SOUTH   VIC 3152","Hotel","V02095454","Metropolitan","77","77"
229,"KOORINGAL GOLF CLUB",2003818.06,0,0,1991906.79,1859735.11,3851641.9,"WILGA AVENUE ALTONA   VIC 3018","Club","V9210182","Metropolitan","61","61"
230,"KORUMBURRA HOTEL",787341.83,0,0,764684.01,745553.82,1510237.83,"81 COMMERCIAL STREET KORUMBURRA 3950","Hotel","V10096326","Country","16","16"
231,"KYABRAM CLUB",1532413.12,0,0,1749458.77,1822226.54,3571685.31,"82 ALLAN STREET KYABRAM   VIC 3620","Club","V9310056","Country","53","53"
232,"KYNETON BOWLING CLUB",725979.17,0,0,817807.02,815979.8,1633786.82,"61-81 MOLLISON STREET KYNETON   VIC 3444","Club","V9510024","Country","25","25"
233,"KYNETON RSL",1177305.17,0,0,1338236.73,1203914.79,2542151.52,"37-39 MOLLISON STREET KYNETON   VIC 3444","Club","V98095056","Country","28","28"
234,"L'UNICO HOTEL",2627065.71,0,0,2690585.89,2460950.31,5151536.2,"319 CLAYTON ROAD CLAYTON   VIC 3168","Hotel","V08096103","Metropolitan","28","28"
235,"LAKES ENTRANCE BOWLS CLUB",2317611.86,0,0,2492390.88,2638850.06,5131240.94,"CNR BULMER &amp; ROWE STREETS LAKES ENTRANCE   VIC 3909","Club","V9410069","Country","63","63"
236,"LAKES ENTRANCE RSL",907117.88,0,0,967199.64,1066438.15,2033637.79,"221 THE ESPLANADE LAKES ENTRANCE 3909","Club","V98095051","Country","35","35"
237,"LAKESIDE CLUB",13363.91,0,0,0,0,0,"2 FOSTER STREET Sale 3850","Club","V9310124","Country","33","33"
238,"LALOR BOWLING CLUB",1318130.65,0,0,1514602.06,1186033.16,2700635.22,"CNR SYDNEY CRESCENT &amp; GORDON STREET LALOR   VIC 3075","Club","V9510088","Metropolitan","36","36"
239,"LANGWARRIN HOTEL",4088891.56,0,0,4815566.54,4245354.17,9060920.71,"CNR UNION &amp; CRANBOURNE ROADS LANGWARRIN   VIC 3910","Hotel","V99095229","Metropolitan","52","52"
240,"LARA HOTEL",1028226.85,0,0,822950.67,798272.61,1621223.28,"8 -12 HICKS STREET LARA    VIC 3212","Hotel","V98095150","Country","40","40"
241,"LARA SPORTING CLUB",854702.65,0,0,1082002.79,902797.94,1984800.73,"MILL ROAD LARA    VIC 3212","Club","V9510041","Country","50","50"
242,"LEIGHOAK",3591670.37,0,0,3876978.23,3287507.21,7164485.44,"CNR PRINCES HIGHWAY &amp;  ATKINSON STREET OAKLEIGH    VIC 3166","Club","V9410081","Metropolitan","92","92"
243,"LEONGATHA RSL",1380395.54,0,0,1315576.64,1327134.91,2642711.55,"CORNER SMITH STREET AND MICHAEL PLACE LEONGATHA 3953","Club","V9710008","Country","44","44"
244,"LEOPOLD SPORTSMANS CLUB",1380206.31,0,0,1320667.35,1279930.63,2600597.98,"135 KENSINGTON ROAD LEOPOLD    VIC 3224","Club","V9310061","Country","35","35"
245,"LINCOLNSHIRE ARMS HOTEL",2352696.73,0,0,2546425.44,2418515.25,4964940.69,"1 KEILOR ROAD ESSENDON   VIC 3040","Hotel","V9610065","Metropolitan","38","38"
246,"LOCH SPORT RSL",91133.02,0,0,139049.35,135613.09,274662.44,"CHARLES STREET RESERVE LOCH SPORT   VIC 3851","Club","V99095200","Country","10","10"
247,"LONDON TAVERN",3567840.63,0,0,3504579.43,3509382.87,7013962.3,"414 HAWTHORN ROAD CAULFIELD    VIC 3162","Hotel","V9410020","Metropolitan","50","50"
248,"LONG BEACH HOTEL",2901856.26,0,0,2993320.4,2822667.84,5815988.24,"380 NEPEAN HIGHWAY CHELSEA    VIC 3196","Hotel","V9610012","Metropolitan","49","49"
249,"LORD OF THE ISLES TAVERN",3065660.03,0,0,3290454.51,2981106.27,6271560.78,"3 WEST FYANS STREET NEWTOWN 3220","Hotel","V9780039","Country","60","60"
250,"LORNE HOTEL",257144.09,0,0,349474.13,400781.34,750255.47,"176 MOUNTJOY PARADE LORNE    VIC 3232","Hotel","V09096293","Country","18","22"
251,"LOWER PLENTY HOTEL",5124977.66,0,0,5489424.57,5166668.79,10656093.36,"2-8 MAIN ROAD LOWER PLENTY   VIC 3093","Hotel","V9780029","Metropolitan","85","85"
252,"LYNBROOK HOTEL",3649579.6,0,0,2529066.82,2976538.36,5505605.18,"550 SOUTH GIPPSLAND HIGHWAY LYNBROOK 3975","Hotel","V06095943","Metropolitan","55","55"
253,"LYNDHURST CLUB HOTEL",1434257.72,0,0,1808395.25,1801075.5,3609470.75,"513 LYGON STREET EAST BRUNSWICK   VIC 3057","Hotel","V98095066","Metropolitan","30","48"
254,"MAC'S HOTEL (MELTON)",5837196.05,0,0,6372618.77,5822659.53,12195278.3,"322-332 HIGH STREET MELTON   VIC 3337","Hotel","V98095066","Metropolitan","82","82"
255,"MAC'S HOTEL (WARRNAMBOOL)",1709634.93,0,0,1902861.82,1988232.18,3891094,"199 FAIRY STREET WARRNAMBOOL    VIC 3280","Hotel","V9410168","Country","31","31"
256,"MAFFRA COMMUNITY SPORTS CLUB",1430725.95,0,0,1483724.39,1491122.39,2974846.78,"122 JOHNSON STREET MAFFRA   VIC 3860","Club","V9610020","Country","35","35"
257,"MAGPIE AND STUMP HOTEL",487419.36,0,0,581513.04,445584.39,1027097.43,"EPPING KILMORE ROAD WANDONG    VIC 3758","Hotel","V08096219","Country","24","24"
258,"MAIL EXCHANGE HOTEL",2658520.04,0,0,2409404.69,2435399.9,4844804.59,"688 BOURKE STREET MELBOURNE 3000","Hotel","V9610073","Metropolitan","80","80"
259,"MALVERN VALE CLUB HOTEL",1778906.8,0,0,2076282.98,2077802.8,4154085.78,"1321 MALVERN ROAD MALVERN   VIC 3144","Hotel","V9610067","Metropolitan","30","30"
260,"MANHATTAN HOTEL",4901069.04,0,0,5741844.59,5229735.88,10971580.47,"CNR CANTERBURY &amp; HEATHERDALE ROADS RINGWOOD   VIC 3134","Hotel","V98095066","Metropolitan","70","103"
261,"MANNINGHAM CLUB",2883688.73,0,0,3134115.19,2905129.19,6039244.38,"1 THOMPSONS ROAD BULLEEN    VIC 3105","Club","V00095320","Metropolitan","90","100"
262,"MANSFIELD GOLF CLUB",858253.66,0,0,729934.33,739078.81,1469013.14,"KIDSTON PARADE MANSFIELD   VIC 3722","Club","V9410038","Country","40","40"
263,"MARINE HOTEL",1981350.45,0,0,2169746,1985724.34,4155470.34,"215 NEW STREET BRIGHTON   VIC 3186","Hotel","V05095881","Metropolitan","50","50"
264,"MAROONDAH SPORTS CLUB",1522293.93,0,0,1604010.1,1549763.23,3153773.33,"CNR MT DANDENONG ROAD AND DUBLIN ROAD RINGWOOD EAST    VIC 3135","Club","V9210180","Metropolitan","56","56"
265,"MARYBOROUGH GOLF CLUB",1345181.92,0,0,1312370.26,1273164.18,2585534.44,"125  PARK ROAD MARYBOROUGH    VIC 3465","Club","V9310084","Country","40","40"
266,"MARYBOROUGH HIGHLAND SOCIETY",2399409.64,0,0,2811503.36,2534309.39,5345812.75,"35 HIGH STREET MARYBOROUGH   VIC 3465","Club","V9410089","Country","56","56"
267,"MATTHEW FLINDERS TAVERNER",6236315.87,0,0,6820505.13,6733308.91,13553814.04,"655 - 667 WARRIGAL ROAD CHADSTONE   VIC 3148","Hotel","V98095066","Metropolitan","75","75"
